Key,en,id,es,pt,sw,fr,mg
footer.copyrightAfterYear,Elinor. All rights reserved.,Elinor. Seluruh hak cipta dilindungi undang-undang.,Elinor. Reservados todos los derechos.,Elinor. Todos os direitos reservados.,Elinor. Haki zote zimehifadhiwa.,Elinor. Tous droits réservés.,Elinor. Arovan'ny zon'ny mpamorona.
footer.createAccount,Create Account,Buat Akun,Crear una cuenta,Criar uma conta,Tengeneza akaunti,Créer un compte,Hamorona kaonty
footer.faqs,FAQs,FAQ,Preguntas frecuentes,Perguntas frequentes,Maswali yanayoulizwa mara kwa mara,Foire aux questions,Fanontaniana mipetraka matetika
footer.methodology,Methodology,Metodologi,Metodología,Metodologia,Mbinu,Méthodologie,Fomba fiasa
footer.privacyPolicy,Privacy Policy,Kebijakan Privasi,Política de privacidad,política de Privacidade,Sera ya Faragha,Politique de confidentialité,Rafitra mifehy ny tsiambaratelo
footer.termsOfUse,Terms of Use,Ketentuan Penggunaan,Condiciones de uso,Termos de uso,Masharti ya matumizi,Conditions générales d'utilisation,Fepetra fampiasana
pages.about.elinorAttributes.attribute1.description,The extent to which MA boundaries are easily identifiable and known.,Atribut ini mengukur kualitas batas KA. Pertanyaan-pertanyaan bertanya apakah batas KA itu i) mudah dikenali dan ii) diketahui oleh semua pemangku kepentingan yang relevan.,Este atributo mide la calidad de las fronteras de la AG. Las preguntas indagan sobre si las fronteras de la AG son i) fácilmente identificables y ii) conocidas por todas los titulares de derechos y otros actores.,Este atributo mede a qualidade dos limites da Área de Manejo. As questões questionam se os limites da Área de Manejo são i) facilmente identificáveis ??e ii) conhecidos por todos os titulares de direitos relevantes e outros intervenientes.,Sifa hii inapima ubora wa mipaka ya maeneo ya usimamizi (MA). Maswali yanayoulizwa hapa ni kama maeneo ya usimamizi ni: i) Rahisi kutambulikana na ii) yanajulikana na wenye haki na watendaji wengine wote husika.,Cet attribut mesure la qualité des limites de la zone sous gestion. Les questions visent à déterminer si les limites de la zone sous gestion sont i) facilement identifiables et ii) connues de toutes les parties prenantes concernées.,"Ity sokajy ity dia mamaritra ny kalitaon'ny fetran'ny faritra tantanana. 
Ny fanontaniana dia mikendry ny hamaritra raha toa ka 
i) mora fantarina ny fetran'ny faritra tantanana ary (ii) fantatry ny tompon-jo voakasik’izany rehetra sy ny mpiantsehatra hafa."
pages.about.elinorAttributes.attribute1.name,1. Resource boundaries,1. Batas Sumber Daya,1. Fronteras de los recursos,1. Fronteiras dos recursos,1. Mipaka ya rasilimali,1. Limites des ressources,1. Fetran'ny loharanon-karena
pages.about.elinorAttributes.attribute1.reportText,Measures the extent that boundaries of the MA are clearly marked and understood by key rights holders and other actors,Mengukur sejauh mana batas KA ditandai dengan jelas dan dipahami oleh pemegang hak utama dan aktor lain,Mide en qué medida los límites de la AG están claramente marcados y comprendidos por los titulares de derechos clave y otros actores.,Mede até que ponto os limites da Área de Manejo são claramente marcados e compreendidos pelos principais detentores de direitos e outros intervenientes,Hupima kiwango ambacho mipaka ya MA inawekwa alama wazi na kueleweka na wenye haki muhimu na wahusika wengine.,Mesure dans quelle mesure les limites de la zone sous gestion sont clairement marquées et comprises par les principaux titulaires de droits et d'autres acteurs.,Mandrefy hoe manao ahoana ny fahitana mazava sy fahatakaran’ny tompon-jo sy ny mpisehatra hafa ny sisintanin’ny faritra tantanana.
pages.about.elinorAttributes.attribute1.useIf,You wish to understand whether the boundaries of the MA are well established.,Anda ingin memahami apakah batas KA telah ditetapkan dengan baik.,Su objetivo es saber si las fronteras de la AG están bien establecidas.,Você deseja entender se os limites da Área de Manejo estão bem estabelecidos.,Kama ungetaka kuelewa iwapo mipaka ya maeneo ya usimamizi iko imara.,Vous souhaitez comprendre si les limites de la zone sous gestion sont bien établies.,Tianao hofantarina raha efa voafaritra tsara ny fetran'ny faritra tantanana.
pages.about.elinorAttributes.attribute10.description,This attribute measures the general perceptions that individuals completing the Elinor assessment have on the social outcomes of the MA.,,Este atributo mide las percepciones generales que tienen los individuos que completan la evaluación Elinor sobre los resultados sociales de la AG.,Este atributo mede as percepções gerais que aqueles que completam a avaliação Elinor têm sobre os resultados sociais da Área de Manejo.,Sifa hii inapima mitazamo ya kijumla ya matokeo ya maeneo ya usimamizi (MA) ya kijamii yanayopokelewa na wale wanaojaza tathmini ya Elinor.,Cet attribut mesure les perceptions générales qu'ont les personnes qui terminent l'évaluation Elinor sur les résultats sociaux de la zone sous gestion.,Ity sokajy ity dia mandrefy ny fomba fijery ankapoben'ny olona mamita ny fanombanana Elinor momba ny vokatra ara-tsosialy ao amin'ny faritra tantanana
pages.about.elinorAttributes.attribute10.name,10. Perceived social outcomes,,10. Resultados sociales percibidos,10. Resultados sociais percebidos,10. Kutambuliwa matokeo ya kijamii,10. Résultats sociaux perçus,10. Vokatra ara-tsosialy tsapa
pages.about.elinorAttributes.attribute10.reportText,Measures the general perceptions that those completing the Elinor assessment have on the social outcomes of the MA.,,Mide las percepciones generales que tienen quienes completan la evaluación de Elinor sobre los resultados sociales de la AG.,Mede as percepções gerais que aqueles que completam a avaliação Elinor têm sobre os resultados ecológicos e sociais da Área de Manejo.,Hupima mitazamo ya jumla ambayo wale wanaokamilisha tathmini ya Elinor wanayo juu ya matokeo na kijamii ya MA.,Mesure les perceptions générales qu'ont les personnes qui terminent l'évaluation Elinor sur les résultats sociaux de la zone sous gestion.,Mandrefy ny fomba fijerin'ireo olona mamita ny fanombanana Elinor momba ny vokatra ara-tsosialy ao amin'ny faritra tantanana.
pages.about.elinorAttributes.attribute10.useIf,You wish to know whether individuals involved in the MA believe that its social objectives are being achieved.,,Su fin es saber si los individuos involucrados en la AG creen que sus objetivos sociales se están logrando.,Pretende saber se os envolvidos na Área de Manejo consideram que os seus objectivos sociais estão a ser alcançados.,Kama ungetaka kujua iwapo wale wanaohusika na maeneo ya usimamizi (MA) ya kijamii wanadhani malengo yao yanatimizwa.,Vous souhaitez savoir si les personnes impliquées dans la zone sous gestion pensent que ses objectifs sociaux sont atteints.,Te hahafantatra ianao raha mihevitra ny olona ao amin'ny faritra tantanana fa tratra ny tanjona ara-tsosialy napetraka.
pages.about.elinorAttributes.attribute2.description,The nature and extent of penalties for breaking MA rules.,"Atribut ini mengukur seberapa baik KA dapat menegakkan peraturan dan apakah ada sistem untuk memantau informasi penting tentang kondisi sosial dan ekologis di KA. Ini secara khusus melihat hukuman atas pelanggaran aturan KA dan sifat serta cakupannya. Ini juga mengukur apakah kondisi sosial, ekologi atau perubahan iklim dipantau.","Este atributo mide cuán bien la AG puede hacer cumplir los reglamentos. Analiza específicamente las penalizaciones por violar las normas de la AG, su naturaleza y alcance.",Este atributo mede quão bem a Área de Manejo é capaz de fazer cumprir os regulamentos. Analisa especificamente as sanções por violação das regras da Área de Manejo e a sua natureza e extensão.,"Sifa hii inapima jinsi maeneo ya usimamizi (MA) yanaweza kutekeleza sheria kwa njia mwafaka na kama kuna. Inazingatia hasa adhabu zinazotolewa kutokana na kuvunja sheria za maeneo ya usimamizi (MA), uasilia na viwango vyao.","Cet attribut mesure la capacité de la zone sous gestion à appliquer les réglementations et s'il existe un système de suivi des informations importantes sur les conditions sociales et écologiques dans la zone sous gestion. Il examine spécifiquement les sanctions en cas d'infraction aux règles de la zone sous gestion, leur nature et leur étendue. Il mesure également si les conditions sociales, écologiques ou liées au changement climatique font l'objet de suivi.","Ity sokajy ity dia mandrefy ny fahafahan'ny faritra tantanana mampihatra ny fitsipika ary mamaritra raha misy rafitra manara-maso ny torohay ilaina momba ny toe-javatra ara-tsosialy sy ara-tontolo iainana ao amin'ilay faritra. Dinihiny manokana ny sazy amin'ny fanitsakitsahana ny fitsipika, ny karazany ary ny hamafiny. Mamaritra koa izy raha arahi-maso ny toe-javatra ara-tsosialy, ara-tontolo iainana, na mifandray amin'ny fiovan'ny toetr'andro."
pages.about.elinorAttributes.attribute2.name,2. Monitoring and enforcement,2. Pemantauan dan penegakan,2. Ejecución normativa,2. Aplicação da lei,2. Ufuatilizi na Uimarishaji,2. Suivi et application,2. Fizohiana sy fampiharana
pages.about.elinorAttributes.attribute2.reportText,Measures how well the MA is able to enforce regulations,Mengukur seberapa baik KA dapat menegakkan peraturan,Mide qué tan bien el AG es capaz de hacer cumplir las regulaciones,Mede quão bem a Área de Manejo é capaz de fazer cumprir os regulamentos,Hupima jinsi MA inavyoweza kutekeleza kanuni,Mesure la capacité de la zone sous gestion à faire respecter les réglementations,Mandrefy ny fahafahan'ny faritra tantanana mampihatra ny fitsipika.
pages.about.elinorAttributes.attribute2.useIf,You would like a preliminary understanding about rule breaking in the MA and whether information exists that may facilitate M&E activities or feed into adaptive management.,Anda ingin pemahaman awal tentang pelanggaran aturan di KA dan apakah ada informasi yang dapat memfasilitasi kegiatan M&E atau memberi makan ke dalam manajemen adaptif.,"Su objetivo es tener una comprensión preliminar sobre la violación de normas en la AG y si existe información que pueda facilitar las actividades de supervisión y evaluación, o que se incluya en la gestión adaptativa.",Você gostaria de ter uma compreensão preliminar sobre a violação de regras na Área de Manejo e se existe informação que possa facilitar as atividades de M&A ou contribuir para a gestão adaptativa.,Kama ungetaka kuwa na uelewa wa awali kuhusu uvunjaji wa sheria katika maeneo ya usimamizi na kama kuna habari zilizoko za kuwezesha shughuli za ufuatilizi na uimarishaji (M&E) au kuimarisha usimamizi wa kukabiliana.,"Vous souhaitez obtenir une compréhension préliminaire de la violation des règles dans la zone sous gestion et savoir s'il existe des informations susceptibles de faciliter les activités de suivi et évaluation, ou d'alimenter la gestion adaptative.","Te hanana fahatakarana mialoha ny fanitsakitsahana fitsipika ao amin'ny faritra tantanana ianao, sy hahafantatra raha misy torohay afaka manampy amin'ny fanaraha-maso tomban’ezaka na famahanana ny fitantanana mifanaraka amin'ny fiovana."
pages.about.elinorAttributes.attribute3.description,"The extent to which social, ecological, or climate conditions are monitored and what kinds of knowledge are used to make management decisions",Atribut ini mengukur apakah pengambil keputusan yang bertanggung jawab mengelola KA menggabungkan berbagai bentuk pengetahuan ke dalam pengambilan keputusan mereka.,"Este atributo mide si los responsables de la toma de decisiones para gestionar la AG incorporan diferentes formas de conocimiento en el proceso de su toma de decisiones. También pregunta si se monitorean las condiciones sociales, ecológicas o de cambio climático.","Este atributo mede se os decisores responsáveis ??pela gestão da Área de Manejo incorporam diferentes formas de conhecimento na sua tomada de decisão. Também pergunta se as condições sociais, ecológicas ou de alterações climáticas são monitorizadas.","Sifa hii inapima kama waamuzi wenye jukumu la maeneo ya usimamizi wanajumuisha aina mbalimbali za ujuzi katika kufanya maamuzi. Pia inauliza kama hali ya kijamii, kiikolojia au mabadiliko ya hali ya hewa yanafuatiliwa.",Cet attribut permet de déterminer si les décideurs responsables de la gestion de la zone sous gestion intègrent différentes formes de connaissances dans leur prise de décision.,Ity sokajy ity dia ahafahana mamaritra raha toa ka mihevitra karazana fahalalana samihafa ao anatin'ny fanapahan-keviny ireo mpanapa-kevitra misahana ny fitantanana ny faritra.
pages.about.elinorAttributes.attribute3.name,3. Capacity for adaptive management,3. Kapasitas untuk manajemen adaptif,3. Capacidad para la gestión adaptativa,3. Capacidade de gestão adaptativa,3. Uwezo wa Usimamizi wa Ukabilianaji,3. Capacité de gestion adaptative,3. Fahafahana mitantana mifanaraka amin'ny fiovana
pages.about.elinorAttributes.attribute3.reportText,Measures whether MA managers incorporate different forms of knowledge into their decision-making,Mengukur apakah manajer KA menggabungkan berbagai bentuk pengetahuan ke dalam pengambilan keputusan mereka,Mide si los gerentes de AG incorporan diferentes formas de conocimiento en su toma de decisiones.,Mede se os gestores de CG incorporam diferentes formas de conhecimento na sua tomada de decisão,Hupima ikiwa wasimamizi wa MA wanajumuisha aina tofauti za maarifa katika kufanya maamuzi yao,Mesure si les gestionnaires de la zone intègrent différentes formes de connaissances dans leur prise de décision,Mandrefy raha mampiditra endri-pahalalana samihafa ny mpanapa-kevitra amin'ny fanapahan-kevitra raisiny amin'ny fitantanana ny faritra tantanana .
pages.about.elinorAttributes.attribute3.useIf,You would like to know what sort of information informs management decisions in the MA.,Anda ingin tahu jenis informasi apa yang memberi informasi keputusan manajemen di KA.,Su objetivo es saber qué tipo de información reciben las decisiones de gestión en la AG.,Você gostaria de saber que tipo de informação informa as decisões de gestão na Área de Manejo.,Kama ungetaka kujua ni ujumbe gani unaotoa mwelekeo kwa wasimamizi katika kufanya maamuzi katika maeneo ya usimamizi.,Vous aimeriez savoir quel type d'information éclaire les décisions de gestion dans la zone.,Tianao ho fantatra hoe karazana torohay toa inona no manampy amin’ny fanapahan-kevitra ara-pitantanana ao amin’ny faritra.
pages.about.elinorAttributes.attribute4.description,"The sufficiency of resources, capacity, budget, and equipment for management needs.","Atribut ini mengukur apakah mereka yang bertanggung jawab mengelola KA memiliki sumber daya untuk melakukannya. Ini secara khusus melihat sumber daya staf, kapasitas penegakan, anggaran dan kebutuhan peralatan.","Este atributo mide si los responsables de gestionar la AG cuentan con los recursos para hacerlo. Analiza específicamente los recursos de personal, capacidad de ejecución normativa, presupuesto, así como necesidades de presupuesto y equipamiento.","Este atributo mede se os responsáveis ??pela gestão da Área de Manejo possuem recursos para fazê-lo. Analisa especificamente os recursos humanos, a capacidade de execução, as necessidades orçamentais e de equipamento.","Sifa hii inapima kama wale wenye jukumu kuongoza maeneo ya usimamizi (MA) wana rasilimali ya kufanya hivyo. Inaangazia hasa rasilimali ya wafanyikazi, uwezo wa uimarishaji na zana zinazohitajika.","Cet attribut permet de déterminer si les personnes responsables de la gestion de la zone disposent des ressources nécessaires pour le faire. Il examine plus particulièrement les ressources en personnel, la capacité d'application de la loi, le budget et les besoins en équipement.","Ity sokajy ity dia ahafahana mamaritra raha manana ny enti-manana ilaina ho amin’izany ireo tompon'andraikitra amin'ny fitantanana ny faritra. Dinihiny manokana ny fitantanana ny mpiasa, ny fahaizana mampihatra ny fitsipika, ny tetibola ary ny filàna eo amin’ny fampitaovana."
pages.about.elinorAttributes.attribute4.name,4. Operational capacity,4. Kapasitas operasional,4. Capacidad operacional,4. Capacidade operacional,4. Uwezo wa utekelezaji,4. Capacité opérationnelle,4.Fahaiza-manao amin'ny fanatanterahana.
pages.about.elinorAttributes.attribute4.reportText,Measures whether those responsible for managing the MA have the resources to do so,Mengukur apakah mereka yang bertanggung jawab mengelola KA memiliki sumber daya untuk melakukannya,Mide si los responsables de gestionar la AG tienen los recursos para hacerlo,Mede se os responsáveis pela gestão da Área de Manejo têm recursos para fazê-lo,Hupima ikiwa wale wanaohusika na kusimamia MA wana rasilimali za kufanya hivyo,Mesure si les personnes responsables de la gestion de la zone disposent des ressources nécessaires pour le faire,Mandrefy raha manana loharanon-karena ilaina hanatanterahana ny fitantanana ny faritra ireo olona tompon'andraikitra.
pages.about.elinorAttributes.attribute4.useIf,You wish to assess the capacity of the MA’s management system.,Anda ingin menilai kapasitas sistem manajemen KA.,Su objetivo es evaluar la capacidad del sistema de gestión de la AG.,Pretende avaliar a capacidade do sistema de gestão da Área de Manejo.,Kama ungetaka kuthathmini uwezo wa maeneo ya usimamizi (MA) wa kusimamia mfumo.,FAUX,DISO
pages.about.elinorAttributes.attribute5.description,"The equitability of decision-making and benefit distribution, along with people's resilience to climate change","Atribut ini mengukur inklusivitas dan keadilan dalam pengelolaan KA, dua komponen penting dari tata kelola yang baik. Pertanyaan tentang inklusi dan keadilan bertanya apakah otoritas KA mengizinkan pemangku kepentingan lokal untuk berkontribusi pada keputusan manajemen, jika ada strategi untuk berbagi manfaat secara adil di antara pemangku kepentingan dan apakah ketahanan komunitas terhadap perubahan iklim diperhitungkan dalam manajemen.","Este atributo mide la inclusión y equidad en la gestión de la AG, dos componentes importantes para una buena gobernanza. Las preguntas sobre inclusión y equidad indagan sobre si las autoridades de la AG permiten a los titulares de derechos y otros actores hacer su aporte a las decisiones de gestión, si existe una estrategia para compartir los beneficios equitativamente entre ellos y si la resiliencia de la comunidad ante el cambio climático se toma en cuenta en la gestión.","Este atributo mede se os responsáveis ??pela gestão da Área de Manejo possuem recursos para fazê-lo. Analisa especificamente os recursos humanos, a capacidade de execução, as necessidades orçamentais e de equipamento.","Sifa hii inapima ujumuishaji na usawa katika usimamizi wa maeneo ya usimamizi (MA), ambapo ni vipengele viwili muhimu vya uongozi bora. Maswali ya ujumuishaji na usawa huuliza iwapo mamlaka ya Maeneo ya usimamizi (MA) inaruhusu wenye haki na watendaji wengine wenyeji kuchangia katika maamuzi ya usimamizi, kama kuna mkakati wa kugawanya faida sawasawa miongoni mwa yao na iwapo uthabiti wa jumuiya wa kukabiliana na mabadiliko ya hali ya hewa unashughulikiwa katika usimamizi.","Cet attribut mesure l'inclusivité et l'équité dans la gestion de la zone sous gestion qui sont deux composantes importantes de la bonne gouvernance. Les questions sur l'inclusion et l'équité visent à déterminer si les autorités de la zone sous gestion permettent aux parties prenantes locales de contribuer aux décisions de gestion, s'il existe une stratégie de partage équitable des avantages entre les parties prenantes et si la résilience des communautés face au changement climatique est prise en compte dans la gestion.","Ity sokajy ity dia mandrefy ny fampiatiana sy ny rariny amin'ny fitantanana ny faritra, singa roa manan-danja amin'ny fitondrana tsara tantana.

Ny fanontaniana momba ny fampiatiana sy ny fitoviana dia mikendry ny hamaritra raha mamela ny tompon-jo sy ireo mpiantsehatra hafa handray anjara amin'ny fanapahan-kevitry ny fitantanana ny manam-pahefana ao amin'ny faritra tantanana, raha misy paikady hizarana amin’ny ara-drariny ny tombontsoa eo anivon'izy ireo, ary raha voahevitra ao anatin’ny fitantanana ny sandan-tohitry ny vondrom-piaraha-monina amin’ny fiovaovan’ny toetr’andro."
pages.about.elinorAttributes.attribute5.name,5. Inclusive and equitable management,5. Manajemen inklusif dan adil,5. Gestión inclusiva y equitativa,5. Gestão inclusiva e equitativa,5. Usimamizi jumuifu na Usawa,5. Une gestion inclusive et équitable,5. Fitantanana mampiaty sy ara-drariny
pages.about.elinorAttributes.attribute5.reportText,"Measures inclusivity and equity in MA managment, particulary regarding vulnerable groups","Mengukur inklusivitas dan keadilan dalam manajemen KA, khususnya mengenai kelompok rentan","Mide la inclusión y la equidad en la gestión de AG, particularmente en lo que respecta a los grupos vulnerables.","Mede a inclusão e a equidade na gestão das Área de Manejo, especialmente no que diz respeito aos grupos vulneráveis","Hupima ujumuishi na usawa katika usimamizi wa MA, hasa kuhusu vikundi vilivyo hatarini","Mesure l'inclusivité et l'équité dans la gestion de la zone, en particulier en ce qui concerne les groupes vulnérables","Mandrefy ny Fampiatiana sy ny fitoviana lenta amin'ny fitantanana ny faritra, indrindra manoloana ny vondrona marefo."
pages.about.elinorAttributes.attribute5.useIf,You wish to understand whether the MA includes vulnerable groups in management decisions and outcomes.,Anda ingin memahami apakah KA memasukkan kelompok rentan dalam keputusan dan hasil manajemen.,Su objetivo es saber si la AG incluye a grupos vulnerables en las decisiones y resultados de gestión.,Pretende avaliar a capacidade do sistema de gestão da Área de Manejo.,Kama ungetaka kuelewa kama maeneo ya usimamizi (MA) yanayashirikisha makundi ya watu wasiojiweza/wenye mahitaji maalum katika maamuzi ya usimamizi na matokeo.,Vous souhaitez savoir si la zone sous gestion inclut les groupes vulnérables dans les décisions et les résultats de gestion.,Tianao hofantarina raha toa ka tsy manavaka ny vondrona marefo amin'ny fanapahan-kevitra sy vokatry ny fitantanana ny faritra.
pages.about.elinorAttributes.attribute6.description,The clarity and recognition of rules governing who can and cannot collect resources and make decisions,Atribut ini mengukur hak masyarakat dalam pengelolaan sumber daya alam. Hak sangat penting karena mereka meletakkan dasar (memberikan insentif atau disincentif) bagi pemangku kepentingan komunitas lokal untuk terlibat secara bermakna dalam mengelola sumber daya alam dan dalam konservasi.,"Este atributo mide los derechos de la comunidad en la gestión de los recursos naturales. Los derechos son sumamente importantes, ya que establecen las bases de quien tiene derecho a participar de manera significativa en la gestión de los recursos naturales y en la conservación.","Este atributo mede a inclusão e a equidade na gestão das Áreas de Manejo, duas componentes importantes da boa governação. As questões sobre inclusão e equidade questionam se as autoridades da Área de Manejo permitem que os titulares de direitos e outros intervenientes contribuam para as decisões de gestão, se existe uma estratégia para partilhar os benefícios de forma equitativa entre eles, e se a resiliência da comunidade às alterações climáticas é tida em conta na gestão.",Sifa hii inapima haki za jumuiya katika usimamizi wa maliasili. Haki ni muhimu sana kwani zinaweka msingi kwa wenye haki na watendaji wengine ili kushiriki kikamilifu katika kusimamia maliasili na katika uhifadhi wake.,Cet attribut mesure les droits des communautés dans la gestion des ressources naturelles. Les droits sont extrêmement importants car ils jettent les bases de qui a le droit de participer à la gestion des ressources naturelles et à la conservation.,Ity sokajy ity dia mandrefy ny zon'ny fiaraha-monina anatin’ny fitantanana ny harena voajanahary. Zava-dehibe ireo zo ireo satria ireo no fototra hahalalana hoe iza no afaka mandray anjara amin’ny fitantanana ny harena voajanahary sy amin’ny fiarovana.
pages.about.elinorAttributes.attribute6.name,6. Clearly defined rights and decision making,6. Hak dan pengambilan keputusan yang jelas didefinisikan,6. Derechos claramente definidos y toma de decisiones,6. Direitos e tomada de decisões claramente definidos,6. Uwazi wa Haki na Maamuzi,6. Droits et prise de décision clairement définis,6. Zo sy fanapahan-kevitra voafaritra mazava.
pages.about.elinorAttributes.attribute6.reportText,Measures the extent that community rights in natural resource management are clearly understood by key rights holders and other actors,Mengukur sejauh mana hak masyarakat dalam pengelolaan sumber daya alam dipahami dengan jelas oleh pemegang hak utama dan aktor lain,Mide el grado en que los titulares de derechos clave y otros actores comprenden claramente los derechos comunitarios en el manejo de los recursos naturales.,Mede até que ponto os direitos da comunidade na gestão dos recursos naturais são claramente compreendidos pelos principais detentores de direitos e outros intervenientes,Hupima kiwango ambacho haki za jamii katika usimamizi wa maliasili zinaeleweka wazi na wenye haki muhimu na wahusika wengine,Mesure dans quelle mesure les droits des communautés dans la gestion des ressources naturelles sont clairement compris par les principaux titulaires de droits et les autres acteurs.,Mandrefy hoe manao ahoana ny fahatakaran'ireo tompon-jo fototra sy mpiantsehatra hafa ny zon'ny fiarahamonina amin'ny fitantanana ny harena voajanahary.
pages.about.elinorAttributes.attribute6.useIf,"You wish to assess the local communities' control over, or access to, the natural resources in the MA you work.",Anda ingin menilai kontrol atau akses komunitas lokal terhadap sumber daya alam di KA yang Anda kerjakan.,"Su objetivo es evaluar el control de, o acceso a, las comunidades locales sobre los recursos naturales de la AG en que usted trabaja.",Você deseja compreender se a Área de Manejo inclui grupos vulneráveis ??nas decisões e resultados de gestão.,Kama ungetaka kutathmini udhibiti wa jumuiya wa maliasili au uwezo wa kufikia maliasili katika maeneo ya usimamizi unalolishughulikia.,Vous souhaitez évaluer le contrôle ou l'accès des communautés locales aux ressources naturelles de la zone sous gestion dans laquelle vous travaillez.,Tianao tombanana ny fanaraha-maso na ny fisitrahan’ny vondrom-piaraha-monina ao an-toerana ny loharanon-karena voajanahary ao amin’ny faritra tantanana izay iasanao.
